stringTimes, hecho
frontTimes, hecho	 
countXX, hecho
doubleX, hecho	 
stringBits, hecho	 
stringSplosion, hecho
last2, hecho	 
arrayCount9, hecho 	 
arrayFront9, hecho
array123, hecho	 
stringMatch, hecho	
stringX, hecho
altPairs, hecho	 
stringYak, hecho	 
array667, hecho
noTriples, hecho	 
has271, hecho
